start_s,end_s,midi_or_hz,confidence
5.782,5.882,266.2,0.24
5.805,5.905,266.2,0.37
5.828,5.928,266.2,0.43
5.851,5.951,266.2,0.55
5.875,5.975,266.2,0.62
5.898,5.998,266.2,0.76
5.921,6.021,266.2,0.83
5.944,6.044,266.2,0.89
5.968,6.068,266.2,0.89
5.991,6.091,266.2,0.89
6.014,6.114,266.2,0.89
6.037,6.137,266.2,0.89
6.06,6.16,266.2,0.95
6.084,6.184,266.2,0.89
6.107,6.207,266.2,0.89
6.13,6.23,266.2,0.89
6.153,6.253,266.2,0.89
6.177,6.277,266.2,0.89
6.2,6.3,266.2,0.89
6.223,6.323,266.2,0.89
6.246,6.346,266.2,0.89
6.269,6.369,266.2,0.89
6.293,6.393,266.2,0.89
6.316,6.416,266.2,0.89
6.339,6.439,266.2,0.89
6.362,6.462,266.2,0.89
6.385,6.485,266.2,0.89
6.409,6.509,266.2,0.89
6.432,6.532,266.2,0.89
6.455,6.555,266.2,0.89
6.478,6.578,266.2,0.89
6.502,6.602,266.2,0.89
6.525,6.625,266.2,0.83
6.548,6.648,266.2,0.89
6.571,6.671,266.2,0.83
6.594,6.694,266.2,0.83
6.618,6.718,264.67,0.76
6.641,6.741,264.67,0.76
6.664,6.764,264.67,0.76
6.687,6.787,264.67,0.83
6.711,6.811,264.67,0.83
6.734,6.834,264.67,0.83
6.757,6.857,264.67,0.83
6.78,6.88,264.67,0.83
6.803,6.903,264.67,0.83
6.827,6.927,264.67,0.83
6.85,6.95,264.67,0.89
6.873,6.973,264.67,0.83
6.896,6.996,264.67,0.83
6.92,7.02,264.67,0.83
6.943,7.043,264.67,0.76
6.966,7.066,264.67,0.69
6.989,7.089,263.14,0.76
7.012,7.112,263.14,0.76
7.036,7.136,263.14,0.69
7.059,7.159,263.14,0.69
7.082,7.182,263.14,0.55
7.105,7.205,263.14,0.32
7.129,7.229,263.14,0.03
7.152,7.252,264.67,0.01
7.175,7.275,264.67,0.01
7.198,7.298,297.08,0.01
7.221,7.321,297.08,0.01
7.245,7.345,297.08,0.02
7.268,7.368,297.08,0.02
7.291,7.391,297.08,0.02
7.314,7.414,297.08,0.05
7.338,7.438,297.08,0.05
7.361,7.461,297.08,0.03
7.384,7.484,297.08,0.03
7.407,7.507,297.08,0.03
7.43,7.53,295.37,0.06
7.454,7.554,295.37,0.11
7.477,7.577,293.66,0.11
7.5,7.6,293.66,0.07
