start_s,end_s,midi_or_hz,confidence
1.95,2.05,220.0,0.95
1.974,2.074,220.0,0.95
1.997,2.097,220.0,0.95
2.02,2.12,220.0,0.95
2.043,2.143,220.0,0.95
2.067,2.167,220.0,0.95
2.09,2.19,220.0,0.95
2.113,2.213,220.0,0.95
2.136,2.236,220.0,0.95
2.159,2.259,220.0,0.95
2.183,2.283,220.0,0.95
2.206,2.306,220.0,0.95
2.229,2.329,220.0,0.95
2.252,2.352,220.0,0.95
2.276,2.376,220.0,0.95
2.299,2.399,220.0,0.95
2.322,2.422,220.0,0.95
2.345,2.445,220.0,0.95
2.368,2.468,220.0,0.95
2.392,2.492,220.0,0.95
2.415,2.515,220.0,0.95
2.438,2.538,220.0,0.95
2.461,2.561,220.0,0.95
2.485,2.585,220.0,0.95
2.508,2.608,220.0,0.95
2.531,2.631,220.0,0.95
2.554,2.654,220.0,0.95
2.577,2.677,220.0,0.95
2.601,2.701,220.0,0.95
2.624,2.724,220.0,0.95
2.647,2.747,220.0,0.95
2.67,2.77,220.0,0.95
2.694,2.794,220.0,0.95
2.717,2.817,220.0,0.95
2.74,2.84,220.0,0.95
2.763,2.863,220.0,0.95
2.786,2.886,220.0,0.95
2.81,2.91,220.0,0.95
2.833,2.933,220.0,0.95
2.856,2.956,220.0,0.95
2.879,2.979,220.0,0.95
2.902,3.002,220.0,0.95
2.926,3.026,220.0,0.95
2.949,3.049,220.0,0.95
2.972,3.072,220.0,0.95
2.995,3.095,220.0,0.95
3.019,3.119,220.0,0.95
3.042,3.142,220.0,0.95
3.065,3.165,220.0,0.95
3.088,3.188,220.0,0.95
3.111,3.211,220.0,0.95
3.135,3.235,220.0,0.95
3.158,3.258,220.0,0.95
3.181,3.281,220.0,0.95
3.204,3.304,220.0,0.95
3.228,3.328,220.0,0.95
3.251,3.351,220.0,0.95
3.274,3.374,220.0,0.95
3.297,3.397,220.0,0.95
3.32,3.42,220.0,0.95
3.344,3.444,220.0,0.95
3.367,3.467,220.0,0.95
3.39,3.49,220.0,0.95
3.413,3.513,220.0,0.95
3.437,3.537,220.0,0.95
3.46,3.56,220.0,0.95
3.483,3.583,220.0,0.95
3.506,3.606,220.0,0.95
3.529,3.629,220.0,0.95
3.553,3.653,220.0,0.95
3.576,3.676,220.0,0.95
3.599,3.699,220.0,0.95
3.622,3.722,220.0,0.95
3.646,3.746,220.0,0.95
3.669,3.769,220.0,0.95
3.692,3.792,220.0,0.95
3.715,3.815,220.0,0.95
3.738,3.838,220.0,0.95
3.762,3.862,220.0,0.95
3.785,3.885,220.0,0.95
3.808,3.908,220.0,0.95
3.831,3.931,220.0,0.95
3.855,3.955,220.0,0.95
3.878,3.978,220.0,0.95
3.901,4.001,220.0,0.95
3.924,4.024,220.0,0.95
3.947,4.047,220.0,0.95
3.971,4.071,220.0,0.95
3.994,4.094,220.0,0.95
4.017,4.117,220.0,0.95
4.04,4.14,220.0,0.95
4.063,4.163,220.0,0.95
4.087,4.187,220.0,0.95
4.11,4.21,220.0,0.95
4.133,4.233,220.0,0.95
4.156,4.256,220.0,0.95
4.18,4.28,220.0,0.95
4.203,4.303,220.0,0.95
4.226,4.326,220.0,0.95
4.249,4.349,220.0,0.95
4.272,4.372,220.0,0.95
4.296,4.396,220.0,0.95
4.319,4.419,220.0,0.95
4.342,4.442,220.0,0.95
4.365,4.465,220.0,0.95
4.389,4.489,220.0,0.95
4.412,4.512,220.0,0.95
4.435,4.535,220.0,0.95
4.458,4.558,220.0,0.95
4.481,4.581,220.0,0.95
4.505,4.605,220.0,0.95
4.528,4.628,220.0,0.95
4.551,4.651,220.0,0.95
4.574,4.674,220.0,0.95
4.598,4.698,220.0,0.95
4.621,4.721,220.0,0.95
4.644,4.744,220.0,0.95
4.667,4.767,220.0,0.95
4.69,4.79,220.0,0.95
4.714,4.814,220.0,0.95
4.737,4.837,220.0,0.95
4.76,4.86,220.0,0.95
4.783,4.883,220.0,0.95
4.807,4.907,220.0,0.95
4.83,4.93,220.0,0.95
4.853,4.953,220.0,0.95
4.876,4.976,220.0,0.95
4.899,4.999,220.0,0.95
4.923,5.023,220.0,0.95
4.946,5.046,220.0,0.95
4.969,5.069,220.0,0.95
4.992,5.092,220.0,0.95
5.016,5.116,220.0,0.95
5.039,5.139,220.0,0.95
5.062,5.162,220.0,0.95
5.085,5.185,220.0,0.95
5.108,5.208,220.0,0.95
5.132,5.232,220.0,0.95
5.155,5.255,220.0,0.95
5.178,5.278,220.0,0.95
5.201,5.301,220.0,0.95
5.224,5.324,220.0,0.95
5.248,5.348,220.0,0.95
5.271,5.371,220.0,0.95
5.294,5.394,220.0,0.95
5.317,5.417,220.0,0.95
5.341,5.441,220.0,0.95
5.364,5.464,220.0,0.95
5.387,5.487,220.0,0.95
5.41,5.51,220.0,0.95
5.433,5.533,220.0,0.95
5.457,5.557,220.0,0.95
5.48,5.58,220.0,0.95
5.503,5.603,220.0,0.95
5.526,5.626,220.0,0.95
5.55,5.65,220.0,0.95
5.573,5.673,220.0,0.95
5.596,5.696,220.0,0.95
5.619,5.719,220.0,0.95
5.642,5.742,220.0,0.95
5.666,5.766,220.0,0.95
5.689,5.789,220.0,0.95
5.712,5.812,220.0,0.95
5.735,5.835,220.0,0.95
5.759,5.859,220.0,0.95
5.782,5.882,220.0,0.95
5.805,5.905,220.0,0.95
5.828,5.928,220.0,0.95
5.851,5.951,220.0,0.95
5.875,5.975,220.0,0.95
5.898,5.998,220.0,0.95
5.921,6.021,220.0,0.95
5.944,6.044,220.0,0.95
5.968,6.068,220.0,0.95
5.991,6.091,220.0,0.95
6.014,6.114,220.0,0.95
6.037,6.137,220.0,0.95
6.06,6.16,220.0,0.95
6.084,6.184,220.0,0.95
6.107,6.207,220.0,0.95
6.13,6.23,220.0,0.95
6.153,6.253,220.0,0.95
6.177,6.277,220.0,0.95
6.2,6.3,220.0,0.95
6.223,6.323,220.0,0.95
6.246,6.346,220.0,0.95
6.269,6.369,220.0,0.95
6.293,6.393,220.0,0.95
6.316,6.416,220.0,0.95
6.339,6.439,220.0,0.95
6.362,6.462,220.0,0.95
6.385,6.485,220.0,0.95
6.409,6.509,220.0,0.95
6.432,6.532,220.0,0.95
6.455,6.555,220.0,0.95
6.478,6.578,220.0,0.95
6.502,6.602,220.0,0.95
6.525,6.625,220.0,0.95
6.548,6.648,220.0,0.95
6.571,6.671,220.0,0.95
6.594,6.694,220.0,0.95
6.618,6.718,220.0,0.95
6.641,6.741,220.0,0.95
6.664,6.764,220.0,0.95
6.687,6.787,220.0,0.95
6.711,6.811,220.0,0.95
6.734,6.834,220.0,0.95
6.757,6.857,220.0,0.95
6.78,6.88,220.0,0.95
6.803,6.903,220.0,0.95
6.827,6.927,220.0,0.95
6.85,6.95,220.0,0.95
6.873,6.973,220.0,0.95
6.896,6.996,220.0,0.95
6.92,7.02,220.0,0.95
6.943,7.043,220.0,0.95
6.966,7.066,220.0,0.95
6.989,7.089,220.0,0.95
7.012,7.112,220.0,0.95
7.036,7.136,220.0,0.95
7.059,7.159,220.0,0.95
7.082,7.182,220.0,0.95
7.105,7.205,220.0,0.95
7.129,7.229,220.0,0.95
7.152,7.252,220.0,0.95
7.175,7.275,220.0,0.95
7.198,7.298,220.0,0.95
7.221,7.321,220.0,0.95
7.245,7.345,220.0,0.95
7.268,7.368,220.0,0.95
7.291,7.391,220.0,0.95
7.314,7.414,220.0,0.95
7.338,7.438,220.0,0.95
7.361,7.461,220.0,0.95
7.384,7.484,220.0,0.95
7.407,7.507,220.0,0.95
7.43,7.53,220.0,0.95
7.454,7.554,220.0,0.95
7.477,7.577,220.0,0.95
7.5,7.6,220.0,0.95
7.523,7.623,220.0,0.95
7.546,7.646,220.0,0.95
7.57,7.67,220.0,0.95
7.593,7.693,220.0,0.95
7.616,7.716,220.0,0.95
7.639,7.739,220.0,0.95
7.663,7.763,220.0,0.95
7.686,7.786,220.0,0.95
7.709,7.809,220.0,0.95
7.732,7.832,220.0,0.95
7.755,7.855,220.0,0.95
7.779,7.879,220.0,0.95
7.802,7.902,220.0,0.95
7.825,7.925,220.0,0.95
7.848,7.948,220.0,0.95
7.872,7.972,220.0,0.95
7.895,7.995,220.0,0.95
7.918,8.018,220.0,0.95
7.941,8.041,220.0,0.95
7.964,8.064,220.0,0.95
7.988,8.088,220.0,0.95
8.011,8.111,220.0,0.95
8.034,8.134,220.0,0.95
8.057,8.157,220.0,0.95
8.081,8.181,220.0,0.95
8.104,8.204,220.0,0.95
8.127,8.227,220.0,0.95
8.15,8.25,220.0,0.95
8.173,8.273,220.0,0.95
8.197,8.297,220.0,0.95
8.22,8.32,220.0,0.95
8.243,8.343,220.0,0.95
8.266,8.366,220.0,0.95
8.29,8.39,220.0,0.95
8.313,8.413,220.0,0.95
8.336,8.436,220.0,0.95
8.359,8.459,220.0,0.95
8.382,8.482,220.0,0.95
8.406,8.506,220.0,0.95
8.429,8.529,220.0,0.95
8.452,8.552,220.0,0.95
8.475,8.575,220.0,0.95
8.499,8.599,220.0,0.95
8.522,8.622,220.0,0.95
8.545,8.645,220.0,0.95
8.568,8.668,220.0,0.95
8.591,8.691,220.0,0.95
8.615,8.715,220.0,0.95
8.638,8.738,220.0,0.95
8.661,8.761,220.0,0.95
8.684,8.784,220.0,0.95
8.707,8.807,220.0,0.95
8.731,8.831,220.0,0.95
8.754,8.854,220.0,0.95
8.777,8.877,220.0,0.95
8.8,8.9,220.0,0.95
8.824,8.924,220.0,0.95
8.847,8.947,220.0,0.95
8.87,8.97,220.0,0.95
8.893,8.993,220.0,0.95
8.916,9.016,220.0,0.95
8.94,9.04,220.0,0.95
8.963,9.063,220.0,0.95
8.986,9.086,220.0,0.95
9.009,9.109,220.0,0.95
9.033,9.133,220.0,0.95
9.056,9.156,220.0,0.95
9.079,9.179,220.0,0.95
9.102,9.202,220.0,0.95
9.125,9.225,220.0,0.95
9.149,9.249,220.0,0.95
9.172,9.272,220.0,0.95
9.195,9.295,220.0,0.95
9.218,9.318,220.0,0.95
9.242,9.342,220.0,0.95
9.265,9.365,220.0,0.95
9.288,9.388,220.0,0.95
9.311,9.411,220.0,0.95
9.334,9.434,220.0,0.95
9.358,9.458,220.0,0.95
9.381,9.481,220.0,0.95
9.404,9.504,220.0,0.95
9.427,9.527,220.0,0.95
9.451,9.551,220.0,0.95
9.474,9.574,220.0,0.95
9.497,9.597,220.0,0.95
9.52,9.62,220.0,0.95
9.543,9.643,220.0,0.95
9.567,9.667,220.0,0.95
9.59,9.69,220.0,0.95
9.613,9.713,220.0,0.95
9.636,9.736,220.0,0.95
9.66,9.76,220.0,0.95
9.683,9.783,220.0,0.95
9.706,9.806,220.0,0.95
9.729,9.829,220.0,0.95
9.752,9.852,220.0,0.95
9.776,9.876,220.0,0.95
9.799,9.899,220.0,0.95
9.822,9.922,220.0,0.95
9.845,9.945,220.0,0.95
9.868,9.968,220.0,0.95
9.892,9.992,220.0,0.95
9.915,10.015,220.0,0.95
9.938,10.038,220.0,0.95
9.961,10.061,220.0,0.89
9.985,10.085,220.0,0.83
