start_s,end_s,midi_or_hz,confidence
0.0,0.1,221.27,0.48
0.023,0.123,221.27,0.62
0.046,0.146,221.27,0.69
0.07,0.17,220.0,0.76
0.093,0.193,220.0,0.95
0.116,0.216,220.0,0.95
0.139,0.239,220.0,0.95
0.163,0.263,220.0,0.95
0.186,0.286,220.0,0.95
0.209,0.309,220.0,0.95
0.232,0.332,220.0,0.95
0.255,0.355,220.0,0.95
0.279,0.379,220.0,0.95
0.302,0.402,220.0,0.95
0.325,0.425,220.0,0.95
0.348,0.448,220.0,0.95
0.372,0.472,220.0,0.95
0.395,0.495,220.0,0.95
0.418,0.518,220.0,0.95
0.441,0.541,220.0,0.95
0.464,0.564,220.0,0.95
0.488,0.588,220.0,0.95
0.511,0.611,220.0,0.95
0.534,0.634,220.0,0.95
0.557,0.657,220.0,0.95
0.58,0.68,220.0,0.95
0.604,0.704,220.0,0.95
0.627,0.727,220.0,0.95
0.65,0.75,220.0,0.95
0.673,0.773,220.0,0.95
0.697,0.797,220.0,0.95
0.72,0.82,220.0,0.95
0.743,0.843,220.0,0.95
0.766,0.866,220.0,0.95
0.789,0.889,220.0,0.95
0.813,0.913,220.0,0.95
0.836,0.936,220.0,0.95
0.859,0.959,220.0,0.95
0.882,0.982,220.0,0.95
0.906,1.006,220.0,0.95
0.929,1.029,220.0,0.95
0.952,1.052,220.0,0.95
0.975,1.075,220.0,0.95
0.998,1.098,220.0,0.95
1.022,1.122,220.0,0.95
1.045,1.145,220.0,0.95
1.068,1.168,220.0,0.95
1.091,1.191,220.0,0.95
1.115,1.215,220.0,0.95
1.138,1.238,220.0,0.95
1.161,1.261,220.0,0.95
1.184,1.284,220.0,0.95
1.207,1.307,220.0,0.95
1.231,1.331,220.0,0.95
1.254,1.354,220.0,0.95
1.277,1.377,220.0,0.95
1.3,1.4,220.0,0.95
1.324,1.424,220.0,0.95
1.347,1.447,220.0,0.95
1.37,1.47,220.0,0.95
1.393,1.493,220.0,0.95
1.416,1.516,220.0,0.95
1.44,1.54,220.0,0.95
1.463,1.563,220.0,0.95
1.486,1.586,220.0,0.95
1.509,1.609,220.0,0.95
1.533,1.633,220.0,0.95
1.556,1.656,220.0,0.95
1.579,1.679,220.0,0.95
1.602,1.702,220.0,0.95
1.625,1.725,220.0,0.95
1.649,1.749,220.0,0.95
1.672,1.772,220.0,0.95
1.695,1.795,220.0,0.95
1.718,1.818,220.0,0.95
1.741,1.841,220.0,0.95
1.765,1.865,220.0,0.95
1.788,1.888,220.0,0.95
1.811,1.911,220.0,0.95
1.834,1.934,220.0,0.95
1.858,1.958,220.0,0.95
1.881,1.981,220.0,0.95
1.904,2.004,220.0,0.95
1.927,2.027,220.0,0.95
